NUTScode,NUTSlevel,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITC,1,11648.1295968151,10332.4599987113,8587.30991594979,9559.89502980118,9553.40585486224,8129.93214850934,6704.93036486403,6309.53199408284,5723.81409387047,5631.85708802908,6250.01198662767,6463.17425999818,6640.81756446075,6399.46785631646,6668.81693818159,6871.75020647827,5803.85538042999
ITC1,2,2953.69521456233,2754.42691773188,2003.36142687851,2424.73846517445,2471.01938725512,1844.43910058512,1554.29244725268,1409.53193258427,1891.94793716268,1215.51793871722,1202.55466234852,1244.95885739805,1322.8074169927,1416.62796509904,1657.75559377989,1583.44280616923,1274.84043266481
ITC16,3,2953.69521456233,2311.03136512138,1613.90088439256,2172.19484124725,2060.68587586786,1542.64964641962,1554.29244725268,1409.53193258427,1891.94793716268,1215.51793871722,1202.55466234852,1244.95885739805,1322.8074169927,1416.62796509904,1657.75559377989,1583.44280616923,1274.84043266481
ITC18,3,,443.395552610498,389.460542485955,252.543623927201,410.333511387255,301.789454165506,,,,,,,,,,,
ITC3,2,,,,,169.845006544908,,,,214.906865073246,143.454171903402,,138.423313974173,145.551446823576,156.169362971141,148.978840853429,,
ITC32,3,,,,,169.845006544908,,,,214.906865073246,143.454171903402,,138.423313974173,145.551446823576,156.169362971141,148.978840853429,,
ITC4,2,8694.43438225279,7578.03308097942,6583.94848907128,7135.15656462673,6912.54146106222,6285.49304792421,5150.63791761135,4900.00006149857,3616.95929163454,4272.88497740847,5047.45732427915,5079.79208862596,5172.45870064447,4826.67052824628,4862.08250354827,5288.30740030904,4529.01494776518
ITC41,3,2045.84262846364,1812.39798272439,1610.95042573736,2116.25163341528,1962.98742077566,1522.73460629702,1565.66878721427,1568.00001967954,1855.49052255204,1132.26328538042,1363.44066025909,1393.32237354366,1412.25631791411,1363.87210926621,1456.60259943771,1561.84692670312,1353.1112832222
ITC42,3,1714.12726046605,1392.88905921076,1040.03667595681,893.492947944969,796.618172290275,810.388940373363,297.206881496624,,,,,,,,,,
ITC43,3,377.742859250851,288.132463480896,209.482564518961,278.117661793246,305.119790518728,307.917158818612,291.518711515827,280.794329765308,331.954354086353,193.406963905479,218.150505641454,232.676255893331,232.840589329871,223.374853982368,229.115548944589,184.699591389218,162.381998595131
ITC46,3,2810.85127619016,2433.4503392428,2350.04031886412,2461.50114460689,2455.98885570247,2248.86760769016,2135.90782778913,2240.79435436474,1130.17985292984,1626.66784211893,1926.54165294609,1926.41799906032,1850.7660037062,1668.05581361216,1616.58127780987,1839.11163121056,1603.02133683793
ITC47,3,1409.39352527208,1354.07328692836,1137.4018115783,1198.78302497089,1218.97610891965,1224.00900445807,860.33570959549,810.411357688984,299.334562066307,1320.54688600364,1539.32450543251,1527.37546012865,1676.59578969428,1571.36775138554,1559.7830773561,1702.64925100615,1410.50032910992
ITC48,3,336.476832610002,297.089949392219,236.03669241573,187.010151895459,172.851112855437,171.575730286988,,,,,,,,,,,
ITF,1,11916.3587699806,10539.9750889903,8566.65670536341,8802.26415801958,7955.6603508159,6611.79332070215,5713.76674571021,4501.04970188152,5034.96083885891,5674.12483510776,4132.5886412453,3960.48914275695,4043.10369351765,4900.51186062462,5036.17940858902,5019.33180578109,4345.99548017582
ITF1,2,1680.79700817921,1406.32528807774,1073.96695049157,1150.83170397205,1014.56087980365,507.067560044581,543.220233166078,479.574474104115,335.791976676947,1647.16129524799,410.395638737986,369.393699530474,399.816419751235,335.751890861544,429.87926693373,397.553844758122,242.537039168339
ITF11,3,550.742740168258,476.239667618683,328.976140054424,337.257624358477,357.726650952992,318.640641961549,371.15309124698,316.936174190546,335.791976676947,225.427984419631,260.417166109486,222.65213696435,257.457374035781,194.932992212543,283.539163644829,244.701380102448,242.537039168339
ITF13,3,779.293041563731,753.921730869702,575.339437763343,629.760682451374,468.952584442577,,,,,,,,,,,,
ITF14,3,350.761226447219,176.163889589356,169.651372673806,183.813397162203,187.881644408084,188.426918083032,172.067141919098,162.63829991357,,1421.73331082836,149.9784726285,146.741562566123,142.359045715454,140.818898649001,146.3401032889,152.852464655674,
ITF2,2,1345.90733044001,1094.30619549998,817.277047489466,856.730268512529,790.605959669217,654.132471719142,621.432570402032,618.581568047337,874.977950655359,596.871822383796,591.733246552445,573.824099312868,836.073186224526,856.69830732266,1005.15603227293,1011.53071465097,961.148003825805
ITF21,3,1345.90733044001,1094.30619549998,817.277047489466,856.730268512529,790.605959669217,654.132471719142,621.432570402032,618.581568047337,874.977950655359,596.871822383796,591.733246552445,573.824099312868,836.073186224526,856.69830732266,1005.15603227293,1011.53071465097,961.148003825805
ITF3,2,2317.24611137077,1951.2390143499,1669.95959884129,1472.10555466425,1445.93713536461,1101.45491139593,523.31163823329,533.787240741972,1003.53830744025,590.467618280966,564.464433347263,,,,,,
ITF31,3,1726.82449943246,1440.66231740448,1267.22199240695,1045.33879777462,1074.68300601424,822.644349679577,523.31163823329,533.787240741972,1003.53830744025,590.467618280966,564.464433347263,,,,,,
ITF35,3,590.421611938305,510.576696945422,402.73760643434,426.766756889637,371.254129350374,278.810561716356,,,,,,,,,,,
ITF4,2,3404.44719787007,3047.03812416844,2053.51922401685,2801.95552369862,2302.67743386548,1950.14200585121,2016.45625819241,1273.30498051991,1797.92618369314,941.418003116074,702.171940033431,950.993210909902,955.272929890412,1113.03175802074,1248.11871110692,1016.22341282658,863.870866120245
ITF43,3,742.788479535288,658.375214482254,510.429347349017,500.292115754518,419.351830318843,378.38576232934,281.564414049433,,,,,,,,,,
ITF44,3,,,,,,,152.15854698631,,,,,,,,,,
ITF45,3,1461.76963600855,1358.55202988402,863.009156645014,1353.82562953379,1076.1860591695,929.879181108944,971.255024221024,838.212776477628,1063.02145759445,517.459691508699,284.95909799415,550.229067249164,551.479746707006,565.078651686513,644.218997735108,409.642161958925,268.600533696501
ITF46,3,169.825571175803,159.741832085264,,185.411774528831,172.851112855437,162.384173307328,149.314461995912,,,,,,,141.840024852315,171.074444706465,185.863221721079,139.692689952496
ITF48,3,1030.06351115043,870.369047716903,680.080720022823,762.426003881485,634.288431521691,479.4928891056,462.163810939726,435.092204042284,734.904726098689,423.958311607375,417.212842039281,400.764143660739,403.793183183406,406.113081481915,432.825268665349,420.718029146572,455.577642471248
ITF5,2,1203.06339206784,1268.97717077078,1625.70271901334,1510.46661146332,1680.4134275859,1464.5214120925,1569.93491469987,1405.36171976597,615.938425790285,1697.11408725007,1863.82338257417,1863.7037358824,1851.94115765148,2393.73949236954,2148.55757675986,2352.80983216853,2049.66338216679
ITF51,3,501.540939173399,665.839786075024,1091.66970242275,1043.74042040799,1010.05172033786,957.453852047924,931.437834355448,707.546108170999,615.938425790285,1001.61752168268,1183.46649310489,1182.29835339294,1251.62410340468,1841.45848949688,1484.18101530078,1750.26769183601,1505.02376861705
ITF52,3,701.522452894438,603.137384695761,534.03301659059,466.726191055333,670.361707248043,507.067560044581,638.497080344422,697.815611594974,,695.496565567385,680.356889469285,681.405382489461,600.317054246793,552.281002872657,664.376561459084,602.542140332517,544.639613549732
ITF6,2,1964.89773005275,1772.08929612344,1326.23116551088,1010.1744957088,721.465514527042,934.474959598774,439.41113101654,190.439718702214,406.78799460293,201.092008828876,,202.574397121312,,201.290412050131,204.467821515576,241.214001376896,228.776188894647
ITF61,3,733.265550310476,585.222412873115,444.044027607093,575.415851986027,341.19306624508,381.449614655893,179.177354395094,190.439718702214,,,,,,,,,
ITF62,3,625.339019095947,528.491668768068,507.47888869382,,,366.130353023126,260.233776621446,,406.78799460293,201.092008828876,,,,,,,
ITF63,3,,,,,,,,,,,,202.574397121312,,201.290412050131,204.467821515576,241.214001376896,228.776188894647
ITF64,3,606.293160646324,658.375214482254,374.708249209972,434.758643722776,380.272448281962,186.894991919755,,,,,,,,,,,
ITG,1,5266.17986132069,4669.83598843649,3245.50452071629,3928.81156717126,3099.29560615575,2792.70139565339,2347.79215957381,2354.78017139818,1859.32814514264,1971.21402285121,1777.92662097785,1902.34437923872,1776.41681887361,1846.22834806018,2116.800835356,2104.06506572395,1700.6105700064
