NUTScode,NUTSlevel,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITC,1,1545.14425375626,1818.06969056604,1434.88612893125,1353.09883852262,1514.00425278232,1225.75129071322,1640.37582952768,1697.40139984701,939.054834708471,1564.98268183898,3294.94963897231,2262.19194832614,1609.87580318368,2715.70223470048,4008.84261844342,2876.62589225567,3155.70300141323
ITC2,2,,,,,,,,272.102514479292,,,291.044984317651,306.837351121087,,,351.938271471512,,
ITC20,3,,,,,,,,272.102514479292,,,291.044984317651,306.837351121087,,,351.938271471512,,
ITC4,2,1545.14425375626,1818.06969056604,1434.88612893125,1353.09883852262,1514.00425278232,1225.75129071322,1640.37582952768,1425.29888536772,939.054834708471,1564.98268183898,3003.90465465466,1955.35459720505,1609.87580318368,2715.70223470048,3656.90434697191,2876.62589225567,3155.70300141323
ITC46,3,950.351508347245,1187.62794194485,1140.34264860449,1107.28971166027,1030.95415145147,998.601576000629,1102.79477666562,1145.42201333188,939.054834708471,970.449226898445,1116.11746279613,1290.96996762078,1192.1566525204,1205.22743358123,1360.55175239662,1187.60071157565,1414.74374400709
ITC47,3,594.792745409015,630.44174862119,294.543480326753,245.809126862343,483.050101330843,227.149714712589,537.581052862058,279.876872035843,,594.533454940531,875.805090423757,664.384629584274,417.71915066328,401.763039187687,826.505352242492,425.829725079557,410.091890914613
ITC4A,3,,,,,,,,,,,1011.98210143477,,,1108.71176193157,1469.84724233279,1263.19545560046,1330.86736649152
ITF,1,24801.3211185309,23752.558838897,13943.5262246426,19779.5942269605,22587.0649233403,22072.0949201856,17509.0651329371,19228.57768987,18901.8754510451,18155.9319647759,16982.0743143143,17367.2774039847,16711.1047948207,14982.8885882929,17610.3402080485,16119.6310933199,15295.4423855312
ITF4,2,24801.3211185309,23752.558838897,13943.5262246426,19779.5942269605,22587.0649233403,22072.0949201856,17509.0651329371,19228.57768987,18901.8754510451,18155.9319647759,16982.0743143143,17367.2774039847,16711.1047948207,14982.8885882929,17610.3402080485,16119.6310933199,15295.4423855312
ITF43,3,24801.3211185309,23752.558838897,13943.5262246426,19779.5942269605,22587.0649233403,22072.0949201856,17509.0651329371,19228.57768987,18901.8754510451,18155.9319647759,16982.0743143143,17367.2774039847,16711.1047948207,14982.8885882929,17610.3402080485,16119.6310933199,15295.4423855312
ITH,1,1262.01412771285,1385.19595471698,1188.98285636487,1380.66621723615,1605.69431831271,1107.8905896831,1683.08086643729,1324.23223713255,1135.32031463146,3591.19535338518,2833.01585652319,3858.3311936173,3919.71536590419,1725.08667005352,1530.84444274311,1415.21496436392,1531.37594859226
ITH3,2,258.987247078464,233.085857764877,278.330077739959,,228.10699229512,,,,,,,,,,,,
ITH31,3,258.987247078464,233.085857764877,278.330077739959,,228.10699229512,,,,,,,,,,,,
ITH4,2,1003.02688063439,1152.1100969521,910.652778624915,1380.66621723615,1377.58732601759,1107.8905896831,1683.08086643729,1324.23223713255,1135.32031463146,3591.19535338518,2833.01585652319,3858.3311936173,3919.71536590419,1725.08667005352,1530.84444274311,1415.21496436392,1531.37594859226
ITH42,3,305.078197829716,317.440739622642,348.588155616065,723.643691230261,802.847159156355,685.734987811591,977.191726931498,987.343409682002,1135.32031463146,1066.42772186642,488.635157157157,1293.26567170518,1159.50246414606,1228.66790426166,1530.84444274311,1415.21496436392,1531.37594859226
ITH44,3,697.948682804674,834.669357329463,562.06462300885,657.022526005888,574.740166861235,422.155601871511,705.889139505787,336.888827450552,,2524.76763151876,2344.38069936603,2565.06552191212,2760.21290175813,496.418765791856,,,
ITI,1,3944.0685,3633.91951582003,3280.51179006127,3236.86971728076,3028.00850556464,2845.8001994181,3260.6551710979,1464.17067315048,981.327399614962,,897.16619019019,1007.96745407187,949.668036091413,954.322506953085,1261.97273076499,1187.52805006047,1073.47866446335
ITI1,2,3116.62619365609,2841.42759941945,2461.73495942818,2435.11845302882,2231.87037559343,2048.63327608713,2363.84939599625,663.411844825702,,,,,,,,,
ITI16,3,3116.62619365609,2841.42759941945,2461.73495942818,2435.11845302882,2231.87037559343,2048.63327608713,2363.84939599625,663.411844825702,,,,,,,,,
ITI2,2,827.442306343906,792.491916400581,818.776830633084,801.75126425194,796.138129971204,797.166923330974,896.805775101658,800.758828324774,981.327399614962,,897.16619019019,1007.96745407187,949.668036091413,954.322506953085,1261.97273076499,1187.52805006047,1073.47866446335
ITI22,3,827.442306343906,792.491916400581,818.776830633084,801.75126425194,796.138129971204,797.166923330974,896.805775101658,800.758828324774,981.327399614962,,897.16619019019,1007.96745407187,949.668036091413,954.322506953085,1261.97273076499,1187.52805006047,1073.47866446335
