NUTScode,NUTSlevel,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITC,1,11648.1295968151,10332.4599987113,8587.30991594979,9559.89502980118,9553.40585486224,8129.93214850934,6704.93036486403,6309.53199408284,5723.81409387047,5631.85708802908,6250.01198662767,6463.17425999818,6640.81756446075,6399.46785631646,6668.81693818159,6871.75020647827,5803.85538042999
ITC1,2,2953.69521456233,2754.42691773188,2003.36142687851,2424.73846517445,2471.01938725512,1832.92268748875,1543.53560185783,1399.09061079306,1829.52952432432,1215.51793871722,1180.79953296737,1244.95885739805,1309.58204775435,1416.62796509904,1657.75559377989,1583.44280616923,1274.84043266481
ITC16,3,2953.69521456233,2311.03136512138,1577.17805442965,2143.62792747702,2036.01562944029,1524.35092284043,1521.64690159295,1369.49242110363,1486.51005573224,1215.51793871722,1182.68468648165,1224.15598463808,1309.58204775435,1406.12562294116,1657.75559377989,1583.44280616923,1274.84043266481
ITC18,3,,443.395552610498,380.59872611465,249.222378617637,405.421055315244,298.209664150511,,,,,,,,,,,
ITC3,2,,,,,169.845006544908,171.646206822555,158.872603118944,154.879606569548,207.81674109972,143.454171903402,145.638636274212,138.423313974173,144.096229984987,156.169362971141,148.978840853429,,
ITC32,3,,,,,167.811645606676,170.675835700356,156.619649066063,151.60308113302,168.853069210965,143.454171903402,145.871149227784,136.110303732505,144.096229984987,155.011582576493,148.978840853429,,
ITC4,2,8694.43438225279,7578.03308097942,6583.94848907128,7135.15656462673,6912.54146106222,6246.24733120129,5114.9917199717,4863.70256710607,3497.62997297297,4272.88497740847,4956.14497850928,5079.79208862596,5120.74469049651,4826.67052824628,4862.08250354827,5288.30740030904,4529.01494776518
ITC41,3,2045.84262846364,1812.39798272439,1574.29473074696,2088.42043854273,1939.48680674619,1504.67211251577,1532.78429885987,1523.45902465966,1457.86533863395,1132.26328538042,1340.91234294971,1370.04039287562,1398.13664257537,1353.76087900392,1456.60259943771,1561.84692670312,1353.1112832222
ITC42,3,1714.12726046605,1392.88905921076,1016.37159814708,881.742466121893,787.081169659632,800.77620474934,290.964503598286,,,,,,,,,,
ITC43,3,377.742859250851,288.132463480896,204.715981470759,274.46008784474,301.466938567746,304.264682711942,285.395804964826,272.81801682735,260.817687263365,193.406963905479,214.545974871954,228.788308499045,230.512659558685,221.718837580189,229.115548944589,184.699591389218,162.381998595131
