NUTScode,NUTSlevel,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITC,1,1545.14425375626,1818.06969056604,1434.88612893125,1353.09883852262,1514.00425278232,1225.75129071322,1640.37582952768,1697.40139984701,939.054834708471,1507.98485536393,3294.94963897231,2262.19194832614,1609.87580318368,2715.70223470048,4008.84261844342,2876.62589225567,3155.70300141323
ITC2,2,,,,,,,,272.102514479292,316.443071244634,273.349119851888,291.044984317651,306.837351121087,297.67764350644,322.254099453924,351.938271471512,,
ITC20,3,,,,,,,,272.102514479292,288.879753454035,273.349119851888,291.044984317651,294.062602158205,285.133159402469,322.254099453924,351.938271471512,,
ITC4,2,1545.14425375626,1818.06969056604,1434.88612893125,1340.83763258631,1514.00425278232,1225.75129071322,1640.37582952768,1425.29888536772,925.521584549356,1490.30278656091,3003.90465465466,1955.35459720505,1589.21101174575,2672.75659832653,3656.90434697191,2876.62589225567,3155.70300141323
ITC46,3,950.351508347245,1187.62794194485,1140.34264860449,1097.25592344075,1030.95415145147,998.601576000629,1102.79477666562,1145.42201333188,844.905360415722,924.140058446627,1116.11746279613,1237.2222175678,1127.25981817712,1186.16817942253,1360.55175239662,1187.60071157565,1414.74374400709
ITC47,3,594.792745409015,630.44174862119,294.543480326753,243.58170914556,483.050101330843,227.149714712589,537.581052862058,279.876872035843,449.620055140842,566.16272811428,875.805090423757,636.72389393157,394.97998256377,395.409629314918,826.505352242492,425.829725079557,410.091890914613
ITC4A,3,,,,,,,,,,,1011.98210143477,1019.84743939961,977.269065746916,1091.17878958908,1469.84724233279,1263.19545560046,1330.86736649152
ITF,1,24801.3211185309,23752.558838897,13943.5262246426,19779.5942269605,22587.0649233403,22072.0949201856,17509.0651329371,19228.57768987,18901.8754510451,17494.679497493,16982.0743143143,17367.2774039847,16711.1047948207,14982.8885882929,17610.3402080485,16119.6310933199,15295.4423855312
ITF4,2,24801.3211185309,23752.558838897,13943.5262246426,19600.3599602175,22587.0649233403,22072.0949201856,17509.0651329371,19228.57768987,18629.4698369099,17289.543401158,16982.0743143143,17367.2774039847,16496.596635496,14745.9518295708,17610.3402080485,16119.6310933199,15295.4423855312
ITF43,3,24801.3211185309,23752.558838897,13943.5262246426,19600.3599602175,22587.0649233403,22072.0949201856,17509.0651329371,19228.57768987,17006.7767080464,17289.543401158,16982.0743143143,16644.2148166105,15801.4107564828,14745.9518295708,17610.3402080485,16119.6310933199,15295.4423855312
ITH,1,1262.01412771285,1385.19595471698,1188.98285636487,1380.66621723615,1605.69431831271,1107.8905896831,1683.08086643729,1324.23223713255,1135.32031463146,3460.4013631605,2833.01585652319,3858.3311936173,3919.71536590419,1725.08667005352,1530.84444274311,1415.21496436392,1531.37594859226
ITH3,2,258.987247078464,233.085857764877,278.330077739959,233.337618574018,228.10699229512,,,,,,,,,,,,
ITH31,3,258.987247078464,233.085857764877,278.330077739959,233.337618574018,228.10699229512,,,,,,,,,,,,
ITH4,2,1003.02688063439,1152.1100969521,910.652778624915,1368.15520744375,1377.58732601759,1107.8905896831,1683.08086643729,1324.23223713255,1118.95857167382,3419.8259855154,2833.01585652319,3858.3311936173,3869.40086315044,1697.806453578,1530.84444274311,1415.21496436392,1531.37594859226
ITH42,3,305.078197829716,317.440739622642,348.588155616065,717.086340007957,802.847159156355,685.734987811591,977.191726931498,987.343409682002,1021.4932974801,1015.53852576552,488.635157157157,1239.42234318607,1096.38320949338,1209.23796663207,1530.84444274311,1415.21496436392,1531.37594859226
ITH44,3,697.948682804674,834.669357329463,562.06462300885,651.068867435796,574.740166861235,422.155601871511,705.889139505787,336.888827450552,1462.96314014105,2404.28745974988,2344.38069936603,2458.27256467909,2609.95657507583,488.56848694593,,,
ITI,1,3944.0685,3633.91951582003,3280.51179006127,3236.86971728076,3028.00850556464,2845.8001994181,3260.6551710979,1464.17067315048,981.327399614962,849.044283982589,897.16619019019,1007.96745407187,949.668036091413,954.322506953085,1261.97273076499,1187.52805006047,1073.47866446335
ITI1,2,3116.62619365609,2841.42759941945,2461.73495942818,2413.05244574106,2231.87037559343,2048.63327608713,2363.84939599625,663.411844825702,,,,,,,,,
ITI16,3,3116.62619365609,2841.42759941945,2461.73495942818,2413.05244574106,2231.87037559343,2048.63327608713,2363.84939599625,663.411844825702,,,,,,,,,
ITI2,2,827.442306343906,792.491916400581,818.776830633084,794.486135437387,796.138129971204,797.166923330974,896.805775101658,800.758828324774,967.184935622318,839.088706913764,897.16619019019,1007.96745407187,937.477846101421,939.231019070723,1261.97273076499,1187.52805006047,1073.47866446335
ITI22,3,827.442306343906,792.491916400581,818.776830633084,794.486135437387,796.138129971204,797.166923330974,896.805775101658,800.758828324774,882.939685321896,839.088706913764,897.16619019019,966.002122467111,897.971433057712,939.231019070723,1261.97273076499,1187.52805006047,1073.47866446335
